id,value,category,score,timestamp,amount,status
1,sample_value_1,A,0.1,2025-01-01 00:00:00,84.68,active
2,sample_value_2,B,0.2,2025-01-01 00:01:00,225.7,inactive
3,sample_value_3,C,0.30000000000000004,2025-01-01 00:02:00,45.22,pending
4,sample_value_4,D,0.4,2025-01-01 00:03:00,92.8,active
5,sample_value_5,E,0.5,2025-01-01 00:04:00,477.97,inactive
6,sample_value_6,A,0.6000000000000001,2025-01-01 00:05:00,331.67,pending
7,sample_value_7,B,0.7000000000000001,2025-01-01 00:06:00,872.97,active
8,sample_value_8,C,0.8,2025-01-01 00:07:00,743.14,inactive
9,sample_value_9,D,0.9,2025-01-01 00:08:00,156.06,pending
10,sample_value_10,E,1.0,2025-01-01 00:09:00,47.12,active
11,sample_value_11,A,1.1,2025-01-01 00:10:00,590.41,inactive
12,sample_value_12,B,1.2000000000000002,2025-01-01 00:11:00,686.5,pending
13,sample_value_13,C,1.3,2025-01-01 00:12:00,567.36,active
14,sample_value_14,D,1.4000000000000001,2025-01-01 00:13:00,892.87,inactive
15,sample_value_15,E,1.5,2025-01-01 00:14:00,159.72,pending
16,sample_value_16,A,1.6,2025-01-01 00:15:00,259.02,active
17,sample_value_17,B,1.7000000000000002,2025-01-01 00:16:00,882.54,inactive
18,sample_value_18,C,1.8,2025-01-01 00:17:00,961.84,pending
19,sample_value_19,D,1.9000000000000001,2025-01-01 00:18:00,888.57,active
20,sample_value_20,E,2.0,2025-01-01 00:19:00,281.71,inactive
21,sample_value_21,A,2.1,2025-01-01 00:20:00,984.92,pending
22,sample_value_22,B,2.2,2025-01-01 00:21:00,603.42,active
23,sample_value_23,C,2.3000000000000003,2025-01-01 00:22:00,883.36,inactive
24,sample_value_24,D,2.4000000000000004,2025-01-01 00:23:00,157.87,pending
25,sample_value_25,E,2.5,2025-01-01 00:24:00,645.19,active
26,sample_value_26,A,2.6,2025-01-01 00:25:00,138.94,inactive
27,sample_value_27,B,2.7,2025-01-01 00:26:00,542.37,pending
28,sample_value_28,C,2.8000000000000003,2025-01-01 00:27:00,806.25,active
29,sample_value_29,D,2.9000000000000004,2025-01-01 00:28:00,248.38,inactive
30,sample_value_30,E,3.0,2025-01-01 00:29:00,221.07,pending
31,sample_value_31,A,3.1,2025-01-01 00:30:00,48.88,active
32,sample_value_32,B,3.2,2025-01-01 00:31:00,358.86,inactive
33,sample_value_33,C,3.3000000000000003,2025-01-01 00:32:00,423.71,pending
34,sample_value_34,D,3.4000000000000004,2025-01-01 00:33:00,659.99,active
35,sample_value_35,E,3.5,2025-01-01 00:34:00,199.16,inactive
36,sample_value_36,A,3.6,2025-01-01 00:35:00,954.63,pending
37,sample_value_37,B,3.7,2025-01-01 00:36:00,707.76,active
38,sample_value_38,C,3.8000000000000003,2025-01-01 00:37:00,106.79,inactive
39,sample_value_39,D,3.9000000000000004,2025-01-01 00:38:00,46.4,pending
40,sample_value_40,E,4.0,2025-01-01 00:39:00,410.78,active
41,sample_value_41,A,4.1000000000000005,2025-01-01 00:40:00,593.59,inactive
42,sample_value_42,B,4.2,2025-01-01 00:41:00,645.89,pending
43,sample_value_43,C,4.3,2025-01-01 00:42:00,431.43,active
44,sample_value_44,D,4.4,2025-01-01 00:43:00,671.12,inactive
45,sample_value_45,E,4.5,2025-01-01 00:44:00,79.57,pending
46,sample_value_46,A,4.6000000000000005,2025-01-01 00:45:00,360.39,active
47,sample_value_47,B,4.7,2025-01-01 00:46:00,913.88,inactive
48,sample_value_48,C,4.800000000000001,2025-01-01 00:47:00,860.78,pending
49,sample_value_49,D,4.9,2025-01-01 00:48:00,310.69,active
50,sample_value_50,E,5.0,2025-01-01 00:49:00,73.75,inactive
51,sample_value_51,A,5.1000000000000005,2025-01-01 00:50:00,558.27,pending
52,sample_value_52,B,5.2,2025-01-01 00:51:00,496.06,active
53,sample_value_53,C,5.300000000000001,2025-01-01 00:52:00,304.2,inactive
54,sample_value_54,D,5.4,2025-01-01 00:53:00,972.78,pending
55,sample_value_55,E,5.5,2025-01-01 00:54:00,859.93,active
56,sample_value_56,A,5.6000000000000005,2025-01-01 00:55:00,869.06,inactive
57,sample_value_57,B,5.7,2025-01-01 00:56:00,880.41,pending
58,sample_value_58,C,5.800000000000001,2025-01-01 00:57:00,504.36,active
59,sample_value_59,D,5.9,2025-01-01 00:58:00,546.34,inactive
60,sample_value_60,E,6.0,2025-01-01 00:59:00,187.81,pending
61,sample_value_61,A,6.1000000000000005,2025-01-01 01:00:00,346.34,active
62,sample_value_62,B,6.2,2025-01-01 01:01:00,950.26,inactive
63,sample_value_63,C,6.300000000000001,2025-01-01 01:02:00,691.63,pending
64,sample_value_64,D,6.4,2025-01-01 01:03:00,171.6,active
65,sample_value_65,E,6.5,2025-01-01 01:04:00,660.92,inactive
66,sample_value_66,A,6.6000000000000005,2025-01-01 01:05:00,181.09,pending
67,sample_value_67,B,6.7,2025-01-01 01:06:00,931.11,active
68,sample_value_68,C,6.800000000000001,2025-01-01 01:07:00,142.28,inactive
69,sample_value_69,D,6.9,2025-01-01 01:08:00,435.03,pending
70,sample_value_70,E,7.0,2025-01-01 01:09:00,596.16,active
71,sample_value_71,A,7.1000000000000005,2025-01-01 01:10:00,138.68,inactive
72,sample_value_72,B,7.2,2025-01-01 01:11:00,75.79,pending
